epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.78763,1.49783,3.53156,1.92124,0.01908,0.93333,0.04138,0.01097,1.40056,3.73494,1.41271,6.666e-05,6.666e-05,6.666e-05
2,2.18359,0.85782,3.27023,1.55882,0.00966,1,0.43549,0.38196,0.35241,3.43569,0.57747,0.00014157,0.00014157,0.00014157
3,2.5973,0.40713,2.80172,1.18571,0.00718,1,0.77311,0.69497,0.1916,3.2846,0.37617,0.000213401,0.000213401,0.000213401
4,2.99465,0.40834,2.35044,1.16937,0.00691,1,0.71942,0.67575,0.17627,2.9204,0.35055,0.000282152,0.000282152,0.000282152
5,3.36651,0.46286,2.15153,1.23373,0.85071,0.33333,0.71167,0.70868,0.22503,2.55624,0.4101,0.000347823,0.000347823,0.000347823
6,3.7487,0.40543,2.05222,1.14085,0.85239,0.33333,0.73381,0.70236,0.36471,2.17305,0.63179,0.000410415,0.000410415,0.000410415
7,4.10803,0.35548,1.85486,1.12564,0.49496,0.74623,0.60668,0.55309,0.36068,1.91357,0.72707,0.000469926,0.000469926,0.000469926
8,4.47762,0.34952,1.7285,1.07944,0.77237,0.5,0.60418,0.52544,0.36004,1.93105,0.68993,0.000526358,0.000526358,0.000526358
9,4.84626,0.39254,1.66762,1.12105,0.72827,0.5,0.64793,0.63658,0.34797,2.0874,0.69611,0.000579711,0.000579711,0.000579711
10,5.21541,0.29932,1.62435,1.06831,0.76463,0.66667,0.69056,0.69056,0.21919,1.99586,0.54444,0.000629984,0.000629984,0.000629984
11,5.57926,0.28764,1.52443,1.05244,0.34934,0.84895,0.78179,0.74438,0.29512,1.95858,0.53652,0.000677177,0.000677177,0.000677177
12,5.9437,0.35143,1.55595,1.07584,0.89408,0.66667,0.82357,0.82357,0.20605,1.59682,0.45755,0.00072129,0.00072129,0.00072129
13,6.3121,0.30616,1.52381,1.06628,0.76125,0.76667,0.89659,0.82393,0.36425,1.66336,0.60965,0.000762324,0.000762324,0.000762324
14,6.67632,0.27686,1.44388,1.02326,0.76125,0.76667,0.89659,0.82393,0.36425,1.66336,0.60965,0.000800278,0.000800278,0.000800278
15,7.04887,0.30022,1.52339,1.02926,0.91461,0.76667,0.92833,0.87195,0.39628,1.2557,0.63092,0.000803031,0.000803031,0.000803031
16,7.42493,0.28939,1.45962,1.06529,0.8526,0.9566,0.98389,0.89874,0.49461,1.3837,0.74284,0.000781033,0.000781033,0.000781033
17,7.7964,0.26624,1.3637,0.99204,0.53122,1,0.995,0.90874,0.43593,1.63856,0.68933,0.000759035,0.000759035,0.000759035
18,8.15993,0.2373,1.29633,1.01041,0.73556,1,0.92833,0.85817,0.35273,1.28728,0.64864,0.000737037,0.000737037,0.000737037
19,8.51519,0.27291,1.41731,1.03568,0.75086,1,0.93944,0.87867,0.35694,1.55398,0.61429,0.00071504,0.00071504,0.00071504
20,8.87228,0.27365,1.3333,1.01837,0.53639,1,0.93944,0.85656,0.44951,1.90495,0.70277,0.000693042,0.000693042,0.000693042
21,9.23244,0.26972,1.34967,1.01404,0.55357,1,0.995,0.94518,0.34567,1.86572,0.57372,0.000671044,0.000671044,0.000671044
22,9.59724,0.25646,1.26113,0.99553,0.55357,1,0.995,0.94518,0.34567,1.86572,0.57372,0.000649046,0.000649046,0.000649046
23,9.97647,0.22995,1.27393,0.98415,0.60042,1,0.995,0.88214,0.40087,1.66195,0.65081,0.000627048,0.000627048,0.000627048
24,10.3439,0.24387,1.18043,0.99109,0.55758,1,0.995,0.84569,0.41201,1.67653,0.66142,0.000605051,0.000605051,0.000605051
